Country,State/Province/Department,Zone/Region/Provincia,City/Canton/District/Municipality/Woreda/Municipio/Commune,Area/Towns/Village/Sector/Colonia/Kebele,Farm/Fazenda/MicroMill/CWS,1
Rwanda,Northern,,Gakenke,Muyongwe,,
Rwanda,Northern,,Gakenke,Ruli,Mbilima,
Rwanda,Southern,,Huye,Kigoma,,
Rwanda,Southern,,Huye,Maraba,,
Rwanda,Southern,,Gisagara,Gisagara,,
Rwanda,Southern,,Huye,Kinazi,,
Rwanda,Northern,,Rulindo,Burega,,
Rwanda,Northern,,Rulindo,Tumba,,
Rwanda,Southern,,Huye,Huye,,
Rwanda,Southern,,Nyanza,,,
Rwanda,Southern,,Nyamagabe,Gasaka,,
Rwanda,Southern,,Huye,Simbi,,
Rwanda,Southern,,Nyamagabe,Kamegeri,,
Rwanda,Southern,,Kamonyi,Kayumbu,,
Rwanda,Western,,Ngororero,,,
Rwanda,Western,,Karongi,Twumba,,
Rwanda,Western,,Nyabihu,Jomba,,
Rwanda,Western,,Karongi,Mubuga,,
Rwanda,Western,,Nyamasheke,Karambi,,
Rwanda,Western,,Nyamasheke,Kirimbi,,
Rwanda,Western,,Rubavu,Nyamyumba,,
Rwanda,Western,,Nyamasheke,Gihombo,,
Rwanda,Western,,Nyamasheke,Nyakarenzo,,
Rwanda,Western,,Nyamasheke,Nyabitekeri,,
Rwanda,Western,,Rusizi,Rwimbogo,,
Rwanda,Western,,Rutsiro,Boneza,,
Rwanda,Western,,Rutsiro,Kigeyo,,
Rwanda,Western,,Nyamasheke,Mahembe,Murundo,
Rwanda,Western,,Rusizi,Nzahaha,,
Rwanda,Western,,Nyamasheke,Shangi,,
Rwanda,Western,,Rutsiro,Mushubati,,
Rwanda,Western,,Rutsiro,Kivumu,,
Rwanda,Western,,Rutsiro,Mushonyi,,
Rwanda,Northern,,Rulindo,Bushoki,,
Rwanda,Northern,,Musanze,,,
Rwanda,Northern,,Gakenke,Rushahshi,,
Rwanda,Northern,,Gicumbi,Nyamiyaga,,
Rwanda,Northern,,Gicumbi,Muko,,
Rwanda,Southern,,Huye,Gishamvu,,
Rwanda,Southern,,Muhanga,Kiyumba,,
Rwanda,Southern,,Muhanga,Cyeza,,
Rwanda,Southern,,Nyamagabe,Cyanika,,
Rwanda,Southern,,Ruhango,,,
Rwanda,Southern,,Nyaruguru,Busanze,,
Rwanda,Western,,Karongi,Gitesi,,
Rwanda,Southern,,Nyaruguru,Nyagisozi,,
Rwanda,Western,,Karongi,Gishyita,,
Rwanda,Western,,Nyamasheke,Kanjongo,,
Rwanda,Western,,Rusizi,Giheke,,
Rwanda,Western,,Rusizi,Mashesha,,
Honduras,Yoro,,Morazan,,,
Honduras,Santa Barbara,,San Francisco de Ojuera,,,
Honduras,Santa Barbara,,Santa Barbara,San Luis de Planes,,
Honduras,Santa Barbara,,Las Vegas,Union Supaya,,
Honduras,Santa Barbara,,Santa Barbara,El Coquillal,,
Honduras,Santa Barbara,,Santa Barbara,Las Flores,,
Honduras,Santa Barbara,,Santa Barbara,El Sauce,,
Honduras,Santa Barbara,,Santa Barbara,La Union del Dorado,,
Honduras,Santa Barbara,,Santa Barbara,El Cielito,,
Honduras,Santa Barbara,,Santa Barbara,Las Peñitas,,
Honduras,Santa Barbara,,Santa Barbara,Los Naranjos,,
Honduras,Copan,,Corquín,El Hichozal,,
Honduras,La Paz,,Marcala,Las Flores,,
Honduras,La Paz,,Santa Ana,,,
Honduras,La Paz,,Marcala,La Mogola,,
Honduras,La Paz,,San Pedro de Tutule,,,
Honduras,La Paz,,Santiago de Puringla,El Comun,,
Honduras,La Paz,,Santa Elena,,,
Honduras,El Paraiso,,Danli,,,
Honduras,Francisco Morazan,,Guaimaca,,,
Honduras,Francisco Morazan,,Guarlaca,,,
Honduras,El Paraiso,,Teupasenti,,,
Honduras,El Paraiso,,Moroceli,,,
Honduras,El Paraiso,,Las Delicias,,,
Honduras,El Paraiso,,El Trapiche,,,
Honduras,El Paraiso,,Trojes,,,
Honduras,Santa Barbara,,Concepcion del Sur,La Peñita,,
Honduras,Santa Barbara,,Arada,El Ocotillo,,
Honduras,Yoro,,Victoria,,,
Honduras,Santa Barbara,,Concepcion del Sur,La Leona/Ojo de Aguita,,
Honduras,Santa Barbara,,Las Vegas,El Cedral,,
Honduras,Santa Barbara,,Las Vegas,Los Andes,,
Honduras,Lempira,,San Andreas,Esquimpara/San Jose Esquimpara,,
Honduras,Ocotepeque,,La Encarnacion,,,
Honduras,Intibuca,,Jesus de Otoro,El Ocotillo,,
Honduras,Lempira,,Talgua,La Lima,,
Honduras,Intibuca,,Masaguara,Pozo Negro,,
Honduras,Intibuca,,Masaguara,San Juanillo,,
Honduras,La Paz,,Cabañas,Las Breas,,
Honduras,La Paz,,Cabañas,Planes,,
Honduras,La Paz,,Chinacla,El Trapiche,,
Honduras,La Paz,,La Paz,Motecillos,,
Honduras,La Paz,,La Paz,Tepanguare,,
Honduras,La Paz,,Chinacla,La Pedrona,,
Honduras,La Paz,,Marcala,Las Acacias,,
Honduras,Comayagua,,San Sebastian,La Peñita,,
Honduras,Comayagua,,Siguatepeque,Rio Bonito,,
Honduras,Comayagua,,Villa San Antonio,,,
Honduras,Comayagua,,Comayagua,Planes,,
Honduras,La Paz,,Santiago de Puringla,Cedritos,,
Honduras,Comayagua,,San Jeronimo,,,
Honduras,Comayagua,,San Pedro de Tutule,,,
Honduras,Francisco Morazan,,Distrito Central,,,
Peru,Amazonas,Luya,Camporredondo,El Puquio,,
Peru,Cajamarca,Jaén,Las Pirias,,,
Peru,Cajamarca,Jaén,Las Delicias,,,
Peru,Cajamarca,San Ignacio,El Laurel,,,
Peru,Cajamarca,San Ignacio,La Coipa,Las Naranjas,,
Peru,Cajamarca,San Ignacio,Churuyacu,,,
Peru,Puno,Sandia,Alto Inambari,Pata Yanamayo,,
Peru,Puno,Sandia,Alto Inambari,Cruz Pata,,
Peru,Amazonas,Rodriguez de Mendoza,Guayabamba,,,
Peru,Amazonas,Chachapoyas,Jalca Grande,Triunfo,,
Peru,Amazonas,Utchubamba,Lonya Grande,Jusiva,,
Peru,Cajamarca,Chota,Querocoto,Pariamarca,,
Peru,Cajamarca,Jaén,Huabal,El Huaco,,
Peru,Cajamarca,Jaén,El Diamante,,,
Peru,Cajamarca,Jaén,Huabal,San Francisco,,
Peru,Cajamarca,Jaén,Huabal,San Antonio,,
Peru,Cajamarca,San Ignacio,San Antonio de la Balsa,,,
Peru,San Martin,Moyobamba,Solitor,,,
Peru,Junin,Chanchamayo,Perene,José Gálvez,,
Peru,Cajamarca,San Ignacio,Tabaconas,Carmen,,
Peru,Junin,Satipo,Pangoa,San Juan de Pueblo Libre,,
Peru,Junin,Satipo,Llaylla,Hermosa Pampa,,
Peru,Pasco,Oxapampa,Villa Rica,,,
Peru,Cusco,La Convencion,Huadquiña,Andiuela,,
Peru,Cusco,La Convencion,Inkawasi,Amaybamba,Choccesapra,
Peru,Cusco,La Convencion,Inkawasi,Hatumpampa,,
Peru,Cusco,La Convencion,Quelloúno,San Martin,Chirumbia,
Peru,Cusco,La Convencion,Inkawasi,Pacaybamba,,
Peru,Cusco,La Convencion,Quillabamba,Versalles,,
Peru,Cusco,Calca,Qeubrada Honda,,,
Peru,Cusco,Calca,Yanatile,Monte Salvado,,
Peru,Puno,Sandia,Alto Inambari,Pampa Grande,,
El Salvador,Ahuachapan,Apaneca-Ilamatepec,Ahuachapan,Cuyanausul,,
El Salvador,Santa Ana,Apaneca-Ilamatepec,Santa Ana,Potrero Grande Arriva,,
El Salvador,Santa Ana,Apaneca-Ilamatepec,Santa Ana,El Portezuelo,,
El Salvador,Santa Ana,Apaneca-Ilamatepec,Santa Ana,Palo de Campana,,
El Salvador,Santa Ana,Apaneca-Ilamatepec,Santa Ana,Ochupse Arriba,,
El Salvador,Santa Ana,Apaneca-Ilamatepec,Santa Ana,Planes de La Laguna,,
El Salvador,Santa Ana,Apaneca-Ilamatepec,Santa Ana,Lomas de San Marcelino,,
El Salvador,Sonsonate,Apaneca-Ilamatepec,Juayua,San Juan de Dios,,
El Salvador,Sonsonate,Apaneca-Ilamatepec,Nahuizalco,Los Arenales,,
El Salvador,Santa Ana,Apaneca-Ilamatepec,Coatepeque,,,
El Salvador,Sonsonate,Apaneca-Ilamatepec,Juayua,Los Naranjos,,
El Salvador,Sonsonate,Apaneca-Ilamatepec,Izalco,Tunalmiles,,
El Salvador,Sonsonate,Apaneca-Ilamatepec,Juayua,Portezuelo,,
El Salvador,Chalatenango,Alotepec-Metapan,La Palma,Los Planes,,
El Salvador,Chalatenango,Alotepec-Metapan,La Palma,El Tunel,,
El Salvador,Chalatenango,Alotepec-Metapan,Citala,Los Planes,,
El Salvador,Chalatenango,Alotepec-Metapan,La Palma,San Jose Sacare,,
El Salvador,Chalatenango,Alotepec-Metapan,La Reina,Talquezalar,,
El Salvador,Chalatenango,Alotepec-Metapan,San Fernando,Jocotan,,
El Salvador,La Paz,El Balsamo-Quezaltepec,,,,
El Salvador,San Salvador,El Balsamo-Quezaltepec,,,,
El Salvador,Ahuachapan,Apaneca-Ilamatepec,Apaneca,El Saltillal,,
El Salvador,Ahuachapan,Apaneca-Ilamatepec,Ahuachapan,El Anonal,,
El Salvador,Ahuachapan,Apaneca-Ilamatepec,Ahuachapan,Los Huatales,,
El Salvador,Ahuachapan,Apaneca-Ilamatepec,Apaneca,San Ramoncito,,
El Salvador,Ahuachapan,Apaneca-Ilamatepec,Tacuba/ “Patio de Balls”,,,
El Salvador,Ahuachapan,Apaneca-Ilamatepec,Apaneca,Taltapanca,,
El Salvador,Ahuachapan,Apaneca-Ilamatepec,Concepcion de Ataco,Quezalapa,,
El Salvador,Ahuachapan,Apaneca-Ilamatepec,Atiquizaya,Cerro Cachio,,
El Salvador,Santa Ana,Apaneca-Ilamatepec,El Congo,,,
El Salvador,Santa Ana,Apaneca-Ilamatepec,Chalchuapa,El Porvenir,,
El Salvador,Santa Ana,Apaneca-Ilamatepec,Chalchuapa,Buenos Aires,,
El Salvador,Santa Ana,Apaneca-Ilamatepec,Santa Ana,Calzontes Arriba,,
El Salvador,Santa Ana,Apaneca-Ilamatepec,Chalchuapa,El Porvenir Jocotillo,,
El Salvador,Santa Ana,Apaneca-Ilamatepec,Chalchuapa,Ojo de Agua,,
El Salvador,Santa Ana,Alotepec-Metapan,Metapan,El Limo/El Limo de Montecristo,,
El Salvador,Chalatenango,Alotepec-Metapan,Tejutla,,,
El Salvador,Chalatenango,Alotepec-Metapan,San Ignacio,Santa Rosa,,
El Salvador,La Libertad,El Balsamo-Quezaltepec,Quezaltepec,El Boqueron,,
El Salvador,La Libertad,El Balsamo-Quezaltepec,Jayaque,,,
El Salvador,La Libertad,El Balsamo-Quezaltepec,Nueva San Salvador/ Santa Tecla,,,
El Salvador,La Paz,Chichontepec,,,,
El Salvador,San Vicente,Chichontepec,,,,
El Salvador,La Libertad,El Balsamo-Quezaltepec,San Juan Los Planes,,,
El Salvador,La Libertad,El Balsamo-Quezaltepec,Tamanique,,,
El Salvador,Usultan,Tecapa-Chinameca,Alegría,,,
El Salvador,Usultan,Tecapa-Chinameca,Mercedes Umaña,San Jose Montanita,,
El Salvador,San Miguel,Tecapa-Chinameca,,,,
El Salvador,Usultan,Tecapa-Chinameca,Berlin,San Juan Loma Alta,,
El Salvador,Morazan,Cacahuatique,Osicala,Caserío El Tablon,,
El Salvador,San Miguel,Cacahuatique,,,,
Nicaragua,Nueva Segovia,,Dipilto,El Guácimo,,
Nicaragua,Nueva Segovia,,Dipilto,La Laguna,,
Nicaragua,Nueva Segovia,,Dipilto,El Volcan,,
Nicaragua,Nueva Segovia,,Dipilto,Las Nubes,,
Nicaragua,Nueva Segovia,,Dipilto,Los Planes,,
Nicaragua,Nueva Segovia,,Dipilto,Los Manos,,
Nicaragua,Nueva Segovia,,Japala,La Providencia,,
Nicaragua,Nueva Segovia,,Dipilto,Ojo de Agua,,
Nicaragua,Nueva Segovia,,Ocotal,,,
Nicaragua,Nueva Segovia,,Macuelizo,El Suyatal,,
Nicaragua,Nueva Segovia,,Mozonte,,,
Nicaragua,Nueva Segovia,,San Fernando,Lugar El Bayuncun,,
Nicaragua,Nueva Segovia,,San Fernando,El Ural,,
Nicaragua,Nueva Segovia,,San Fernando,Ciudad Antigua,,
Nicaragua,Madriz,,San Juan de Rio Coco,,,
Nicaragua,Jinotega,,Jinotega,El Arenal,,
Nicaragua,Madriz,,Totogalpa,,,
Nicaragua,Jinotega,,Jinotega,Lipululo,,
Nicaragua,Jinotega,,Jinotega,Laguna Verde,,
Nicaragua,Jinotega,,San Rafael del Norte,,,
Nicaragua,Nueva Segovia,,Macuelizo,Brujil,,
Nicaragua,Matagalpa,,El Tuma-La Dalia,,,
Nicaragua,Matagalpa,,Matagalpa,Yasica Sur,,
Nicaragua,Matagalpa,,San Ramon,,,
Peru,Huanuco,,,,,
Nicaragua,Estelí,,Estelí,,,
Nicaragua,Estelí,,San Jerónimo,,,
Nicaragua,Estelí,,Condega,,,
Nicaragua,Estelí,,Pueblo Nuevo,,,
Nicaragua,Matagalpa,,Santa Bárbara,,,
Nicaragua,Estelí,,San Juan de Limay,,,
Costa Rica,Alajuela,Valle Occidental/West Valley,Atenas,,,
Costa Rica,Alajuela,Valle Occidental/West Valley,Grecia,San Luis,,
Costa Rica,Alajuela,Valle Occidental/West Valley,Grecia,San Roque,,
Costa Rica,Alajuela,Valle Occidental/West Valley,Naranjo,San Rafael,,
Costa Rica,Alajuela,Valle Occidental/West Valley,Zarcero,Guadalupe,,
Costa Rica,Alajuela,Valle Occidental/West Valley,Naranjo,San Antonio,,
